Tabla 4,403-02-01-01-,DEL PAIS,,7881189.29,,7881189.29,,,
Tabla 4,403-02-01-01-01-,DEL PAIS,,7881189.29,,7881189.29,,,
Tabla 4,403-02-01-01-01-01,FACULTATIVO,,7881189.29,,7881189.29,,,
Tabla 4,403-03-,CTAS.CORRIENTES C/INTERMED. DE REASEGUROS,-5347339.92,7874234.89,,9624890.15,-7097995.18,,
Tabla 4,403-03-01-,DEL PAIS,-5347339.92,7874234.89,,9624890.15,-7097995.18,,
Tabla 4,403-03-01-01-,DEL PAIS,-5347339.92,7874234.89,,9624890.15,-7097995.18,,
Tabla 4,403-03-01-01-01-,DEL PAIS,-5347339.92,7874234.89,,9624890.15,-7097995.18,,
Tabla 4,403-03-01-01-01-03,CONTRATO,-5347339.92,7874234.89,,9624890.15,-7097995.18,,
Tabla 4,404-,CUENTAS ACREEDORAS DIVERSAS,-2280196.49,4557746.64,,5043828.81,-2766278.66,,
Tabla 4,404-02-,GASTOS POR PAGAR,-601218.18,3451686.87,,3618447.6,-767978.91,,
Tabla 4,404-02-01-,GASTOS POR PAGAR,-601218.18,3451686.87,,3618447.6,-767978.91,,
Tabla 4,404-02-01-01-,GASTOS POR PAGAR,-601218.18,3451686.87,,3618447.6,-767978.91,,
Tabla 4,404-02-01-01-01-,GASTOS POR PAGAR,-601218.18,3451686.87,,3618447.6,-767978.91,,
Tabla 5,-601218.18,,,,3451686.87,3618447.6,,,
Tabla 5,Código,Descripción,Saldo Inicial,Debitos,,Créditos,Saldo Actual,,
Tabla 5,404-02-01-01-01-01,GASTOS POR PAGAR,-601218.18,3451686.87,,3618447.6,-767978.91,,
Tabla 5,404-04-,IMPUESTOS Y CONTRIBUCIONES POR PAGAR,-688315.5,699732.95,,1001709.56,-990292.11,,
Tabla 5,404-04-01-,IMPUESTO SOBRE LA RENTA,-457991.07,589593.94,,753681.34,-622078.47,,
Tabla 5,404-04-01-02-,RETENCIONES AL PERSONAL,-5.39,5.41,,60.64,-60.62,,
Tabla 5,404-04-01-02-01-,RETENCIONES AL PERSONAL,-5.39,5.41,,60.64,-60.62,,
Tabla 5,404-04-01-02-01-01,RETENCION ISLR AL PERSONAL,-5.39,5.41,,60.64,-60.62,,
Tabla 5,404-04-01-05-,OTROS,-457985.68,589588.53,,753620.7,-622017.85,,
Tabla 5,404-04-01-05-01-,OTROS,-457985.68,589588.53,,753620.7,-622017.85,,
Tabla 5,404-04-01-05-01-01,ISLR  RETENIDOS A TERCEROS,-22171.11,21824.36,,83783.75,-84130.5,,
Tabla 5,404-04-01-05-01-02,IVA  RETENIDO A TERCEROS,-41794.25,42161.21,,320747.99,-320381.03,,
Tabla 5,404-04-01-05-01-03,IVA  (DEBITO FISCAL),-0.03,13146.97,,13146.98,-0.04,,
Tabla 5,404-04-01-05-01-05,IGTF POR PAGAR,-369037.35,487473.05,,309704.69,-191268.99,,
Tabla 5,404-04-01-05-01-06,LEY DE PROTECCIÓN DE PENSIONES,-24982.94,24982.94,,26237.29,-26237.29,,
Tabla 5,404-04-02-,IMPUESTOS MUNICIPALES,-96365.72,96365.72,,171401.05,-171401.05,,
Tabla 5,404-04-02-01-,IMPUESTOS MUNICIPALES,-96365.72,96365.72,,171401.05,-171401.05,,
Tabla 5,404-04-02-01-01-,IMPUESTOS MUNICIPALES,-96365.72,96365.72,,171401.05,-171401.05,,
Tabla 5,404-04-02-01-01-01,PATENTE MUNICIPAL,-96365.72,96365.72,,171401.05,-171401.05,,
Tabla 5,404-04-03-,CONTRIBUCIONES,-133958.71,13773.29,,76627.17,-196812.59,,
Tabla 5,404-04-03-01-,I.N.C.E,-4944.22,4944.27,,2756.28,-2756.23,,
Tabla 5,404-04-03-01-01-,I.N.C.E,-4944.22,4944.27,,2756.28,-2756.23,,
Tabla 5,404-04-03-01-01-01,I.N.C.E APORTE EMPLEADO,,,,58.11,-58.11,,
Tabla 5,404-04-03-01-01-02,I.N.C.E APORTE PATRONAL,-4944.22,4944.27,,2698.17,-2698.12,,
Tabla 5,404-04-03-02-,SEGURO SOCIAL OBLIGATORIO,-2223,2223,,1599,-1599,,
Tabla 5,404-04-03-02-01-,SEGURO SOCIAL OBLIGATORIO,-2223,2223,,1599,-1599,,
Tabla 5,404-04-03-02-01-01,SEGURO SOCIAL OBLIGATORIO APORTE EMPLEADO,-684,684,,492,-492,,
Tabla 5,404-04-03-02-01-02,SEGURO SOCIAL OBLIGATORIO APORTE PATRONAL,-1539,1539,,1107,-1107,,
Tabla 5,404-04-03-03-,LEY DE POLITICA HABITACIONAL,-2478.8,2478.45,,2607.85,-2608.2,,
Tabla 5,404-04-03-03-01-,LEY DE POLITICA HABITACIONAL,-2478.8,2478.45,,2607.85,-2608.2,,
Tabla 5,404-04-03-03-01-01,LEY DE POLITICA HABITACIONAL  APORTE EMPLEADO,-826.46,826.15,,869.32,-869.63,,
Tabla 5,404-04-03-03-01-02,LEY DE POLITICA HABITACIONAL  APORTE PATRONAL,-1652.34,1652.3,,1738.53,-1738.57,,
Tabla 5,404-04-03-04-,SEGURO DE PARO FORZOSO,-855,855,,615,-615,,
Tabla 5,404-04-03-04-01-,SEGURO DE PARO FORZOSO,-855,855,,615,-615,,
Tabla 5,404-04-03-04-01-01,SEGURO DE PARO FORZOSO APORTE EMPLEADO,-171,171,,123,-123,,
Tabla 5,404-04-03-04-01-02,SEGURO DE PARO FORZOSO APORTE PATRONAL,-684,684,,492,-492,,
Tabla 5,404-04-03-09-,DEPORTE,-4231.22,,,,-4231.22,,
Tabla 5,404-04-03-09-01-,DEPORTE,-4231.22,,,,-4231.22,,
Tabla 5,404-04-03-09-01-01,DEPORTE,-4231.22,,,,-4231.22,,
Tabla 5,404-04-03-10-,LEY ORGANICA DE CIENCIAS Y TECNOLOGÍA E INFORMACI,-119226.47,3272.57,,69049.04,-185002.94,,
Tabla 5,404-04-03-10-01-,LEY ORGANICA DE CIENCIAS Y TECNOLOGÍA E INFORMACI,-119226.47,3272.57,,69049.04,-185002.94,,
Tabla 5,404-04-03-10-01-01,LEY ORGANICA DE CIENCIAS Y TECNOLOGÍA E INFORMAC,-119226.47,3272.57,,69049.04,-185002.94,,
Tabla 5,404-07-,CUENTAS POR PAGAR AL PERSONAL,-990662.81,406326.82,,423671.65,-1008007.64,,
Tabla 5,404-07-01-,UTILIDADES Y BONIFICACIONES,-297371.86,52546.92,,72116.54,-316941.48,,
Tabla 5,404-07-01-01-,UTILIDADES Y BONIFICACIONES,-297371.86,52546.92,,72116.54,-316941.48,,
Tabla 5,404-07-01-01-01-,UTILIDADES Y BONIFICACIONES,-297371.86,52546.92,,72116.54,-316941.48,,
Tabla 5,404-07-01-01-01-01,UTILIDADES POR PAGAR,-18516,29094,,42966,-32388,,
Tabla 5,404-07-01-01-01-03,BONO VACACIONAL POR PAGAR,-139427.93,11726.46,,14575.27,-142276.74,,
Tabla 5,404-07-01-01-01-04,VACACIONES POR PAGAR,-139427.93,11726.46,,14575.27,-142276.74,,
Tabla 5,404-07-02-,PRESTACIONES SOCIALES,-693290.95,353779.9,,351555.11,-691066.16,,
Tabla 5,404-07-02-01-,PRESTACIONES SOCIALES,-693290.95,353779.9,,351555.11,-691066.16,,
Tabla 5,404-07-02-01-01-,PRESTACIONES SOCIALES,-693290.95,353779.9,,351555.11,-691066.16,,
Tabla 5,404-07-02-01-01-01,PRESTACIONES SOCIALES,-607618.25,346109.83,,342545.3,-604053.72,,
Tabla 5,404-07-02-01-01-02,INTERESES S/PRESTACIONES SOCIALES,-85672.7,7670.07,,9009.81,-87012.44,,
Tabla 6,Código,Descripción,Saldo Inicial,Debitos,,Créditos,,Saldo Actual,
Tabla 6,405-,PASIVOS TRANSITORIOS,-15267347.22,104982775,,125819005.1,,-36103577.36,
Tabla 6,405-01-,CREDITOS DIFERIDOS P/REASEGURO ACEPTADO,-15238569.68,88234782.14,,109055025.3,,-36058812.88,
Tabla 6,405-01-01-,AJUSTE PROVISIONAL DE RESERVAS,-15238569.68,88234782.14,,109055025.3,,-36058812.88,
Tabla 6,405-01-01-01-,AJUSTE PROVISIONAL DE RESERVAS,-15238569.68,88234782.14,,109055025.3,,-36058812.88,
Tabla 6,405-01-01-01-01-,AJUSTE PROVISIONAL DE RESERVAS,-15238569.68,88234782.14,,109055025.3,,-36058812.88,
Tabla 6,405-01-01-01-01-02,CREDITOS DIFERIDOS P/REASEGURO ACEPTADO CONTRA,-2857763,61924841.75,,81218153.13,,-22151074.38,
Tabla 6,405-01-01-01-01-03,CREDITOS DIFERIDOS P/REASEGURO ACEPTADO CONTRA,-12380806.68,26309940.39,,27836872.21,,-13907738.5,
Tabla 6,405-02-,OTROS CREDITOS DIFERIDOS,-28777.54,16747992.86,,16763979.8,,-44764.48,
Tabla 6,405-02-02-,OPERACIONES EN PROCESO,-28777.54,16747992.86,,16763979.8,,-44764.48,
Tabla 6,405-02-02-01-,OPERACIONES EN PROCESO,-28777.54,16747992.86,,16763979.8,,-44764.48,
Tabla 6,405-02-02-01-01-,OPERACIONES EN PROCESO,-28777.54,16747992.86,,16763979.8,,-44764.48,
Tabla 6,405-02-02-01-01-01,OPERACIONES EN PROCESO,-28777.54,16291087.27,,16307074.21,,-44764.48,
Tabla 6,405-02-02-01-01-02,NOMINA POR PAGAR,,456905.59,,456905.59,,,
Tabla 6,406-,OTROS PASIVOS,-241321.2,,,29762.6,,-271083.8,
Tabla 6,406-01-,DEPOSITOS P/CONTRATOS DE ARRENDAMIENTOS,-241321.2,,,29762.6,,-271083.8,
Tabla 6,406-01-01-,DEPOSITOS P/CONTRATOS DE ARRENDAMIENTOS,-241321.2,,,29762.6,,-271083.8,
Tabla 6,406-01-01-01-,DEPOSITOS P/CONTRATOS DE ARRENDAMIENTOS,-241321.2,,,29762.6,,-271083.8,
Tabla 6,406-01-01-01-01-,DEPOSITOS P/CONTRATOS DE ARRENDAMIENTOS,-241321.2,,,29762.6,,-271083.8,
Tabla 6,406-01-01-01-01-01,DEPOSITOS P/CONTRATOS DE ARRENDAMIENTOS,-241321.2,,,29762.6,,-271083.8,
Tabla 6,407-,RESERVAS DE PREVISION,-350561.62,174223.03,,365279.01,,-541617.6,
Tabla 6,407-02-,OTROS FINES,-350561.62,174223.03,,365279.01,,-541617.6,
Tabla 6,407-02-01-,FLUCTUACION DE CAMBIOS,-350561.62,174223.03,,365279.01,,-541617.6,
Tabla 6,407-02-01-01-,SOBRE ACTIVOS,-128286.24,165680,,42931.39,,-5537.63,
Tabla 6,407-02-01-01-01-,VALORES PÚBLICOS,-128286.24,165680,,42931.39,,-5537.63,
Tabla 6,407-02-01-01-01-01,VALORES PÚBLICOS,-128286.24,165680,,42931.39,,-5537.63,
Tabla 6,407-02-01-02-,SOBRE OPERACIONES TÉCNICAS,-222275.38,8543.03,,322347.62,,-536079.97,
Tabla 6,407-02-01-02-01-,RESERVAS TÉCNICAS,-222275.38,8543.03,,322347.62,,-536079.97,
Tabla 6,407-02-01-02-01-02,RIESGOS EN CURSO,-195236.24,,,314430.97,,-509667.21,
Tabla 6,407-02-01-02-01-03,RESERVA PARA SINIESTROS PENDIENTES,-11407.46,8543.03,,,,-2864.43,
Tabla 6,407-02-01-02-01-04,RESERVA PARA SINIESTROS NO NOTIFICADOS,-115.95,,,482.56,,-598.51,
Tabla 6,407-02-01-02-01-05,RESERVAS PARA RIESGOS CATASTRÓFICOS,-15515.73,,,7434.09,,-22949.82,
Tabla 6,408-,"RESERVAS DE DEPRECIACIONES,AMORTIZACIONES Y DEV",-825680.63,,,67095.97,,-892776.6,
Tabla 6,408-01-,DEPRECIACION ACUMULADA BIENES MUEBLES,-290686.35,,,27747.74,,-318434.09,
Tabla 6,408-01-01-,MOBILIARIO,-2181.62,,,1090.81,,-3272.43,
Tabla 6,408-01-01-01-,MOBILIARIO,-2181.62,,,1090.81,,-3272.43,
Tabla 6,408-01-01-01-01-,MOBILIARIO,-2181.62,,,1090.81,,-3272.43,
Tabla 6,408-01-01-01-01-01,MOBILIARIO,-2181.62,,,1090.81,,-3272.43,
Tabla 6,408-01-02-,EQUIPO DE OFICINA,-5573.13,,,581.91,,-6155.04,
Tabla 6,408-01-02-01-,EQUIPO DE OFICINA,-5573.13,,,581.91,,-6155.04,
Tabla 6,408-01-02-01-01-,EQUIPO DE OFICINA,-5573.13,,,581.91,,-6155.04,
Tabla 6,408-01-02-01-01-01,EQUIPO DE OFICINA,-5573.13,,,581.91,,-6155.04,
Tabla 6,408-01-03-,EQUIPOS DE COMPUTACION,-282931.6,,,26075.02,,-309006.62,
Tabla 6,408-01-03-01-,EQUIPOS DE COMPUTACION,-282931.6,,,26075.02,,-309006.62,
Tabla 6,408-01-03-01-01-,EQUIPOS DE COMPUTACION,-282931.6,,,26075.02,,-309006.62,
Tabla 6,408-01-03-01-01-01,EQUIPOS DE COMPUTACION,-282931.6,,,26075.02,,-309006.62,
Tabla 6,408-03-,DEPRECIACION ACUMULADA BIENES INMUEBLES,-534994.28,,,39348.23,,-574342.51,
Tabla 6,408-03-01-,PREDIOS URBANOS EDIFICADOS,-534994.28,,,39348.23,,-574342.51,
Tabla 6,408-03-01-01-,PREDIOS URBANOS EDIFICADOS,-534994.28,,,39348.23,,-574342.51,
Tabla 6,408-03-01-01-01-,PREDIOS URBANOS EDIFICADOS,-534994.28,,,39348.23,,-574342.51,
Tabla 6,408-03-01-01-01-01,PREDIOS URBANOS EDIFICADOS,-29439.99,,,643.85,,-30083.84,
Tabla 6,408-03-01-01-01-02,PREDIOS URBANOS EDIFICADOS (AVALUO),-505554.29,,,38704.38,,-544258.67,
Tabla 6,409-,CAPITAL SOCIAL SUSCRITO,-47623497,,,,,-47623497,
Tabla 6,409-01-,CAPITAL SOCIAL SUSCRITO,-47623497,,,,,-47623497,
Tabla 6,409-01-01-,CAPITAL SOCIAL SUSCRITO,-47623497,,,,,-47623497,
Tabla 6,409-01-01-01-,CAPITAL SOCIAL SUSCRITO,-47623497,,,,,-47623497,
Tabla 6,409-01-01-01-01-,CAPITAL SOCIAL SUSCRITO,-47623497,,,,,-47623497,
Tabla 6,409-01-01-01-01-01,CAPITAL SOCIAL SUSCRITO,-47623497,,,,,-47623497,
Tabla 6,410-,RESERVAS DE SUPERAVIT,-11935291.04,38704.38,,,,-11896586.66,
Tabla 6,410-01-,SUPERAVIT GANADO,-829541.65,,,,,-829541.65,
Tabla 6,410-01-01-,RESERVA LEGAL,-41477.08,,,,,-41477.08,
Tabla 6,410-01-01-01-,RESERVA LEGAL,-41477.08,,,,,-41477.08,
Tabla 6,410-01-01-01-01-,RESERVA LEGAL,-41477.08,,,,,-41477.08,
Tabla 6,410-01-01-01-01-01,RESERVA LEGAL,-41477.08,,,,,-41477.08,
Tabla 6,410-01-05-,UTILIDADES NO DISTRIBUIDAS,-788064.57,,,,,-788064.57,
Tabla 6,410-01-05-01-,UTILIDADES NO DISTRIBUIDAS,-788064.57,,,,,-788064.57,
Tabla 6,410-01-05-01-01-,UTILIDADES NO DISTRIBUIDAS,-788064.57,,,,,-788064.57,
Tabla 6,410-01-05-01-01-01,UTILIDADES NO DISTRIBUIDAS,-788064.57,,,,,-788064.57,
Tabla 6,410-02-,SUPERAVIT NO REALIZADO,-11105749.39,38704.38,,,,-11067045.01,
Tabla 6,410-02-02-,RESERVAS PARA REVALORIZACION DE INMUEBLES,-11105749.39,38704.38,,,,-11067045.01,
Tabla 6,410-02-02-01-,PREDIOS URBANOS EDIFICADOS,-11105749.39,38704.38,,,,-11067045.01,
Tabla 6,410-02-02-01-01-,PREDIOS URBANOS EDIFICADOS,-11105749.39,38704.38,,,,-11067045.01,
Tabla 6,410-02-02-01-01-01,PREDIOS URBANOS EDIFICADOS,-11105749.39,38704.38,,,,-11067045.01,
Tabla 6,414-,CUENTAS DE ORDEN,-48872405.74,106060242.1,,108613982.5,,-51426146.18,
Tabla 6,414-01-,PRIMAS EMITIDAS AL COBRO,-48872405.74,106060242.1,,108613982.5,,-51426146.18,
Tabla 6,414-01-01-,PRIMAS EMITIDAS AL COBRO,-48872405.74,106060242.1,,108613982.5,,-51426146.18,
Tabla 6,414-01-01-01-,PRIMAS EMITIDAS AL COBRO,-48872405.74,106060242.1,,108613982.5,,-51426146.18,
Tabla 6,414-01-01-01-01-,PRIMAS EMITIDAS AL COBRO,-48872405.74,106060242.1,,108613982.5,,-51426146.18,
Tabla 6,414-01-01-01-01-01,PRIMAS EMITIDAS AL COBRO FACULTATIVO,-3869123.17,58955185.23,,67260472.69,,-12174410.63,
Tabla 6,414-01-01-01-01-02,NEGOCIOS ACEPTADOS,-45003282.57,45003282.57,,39251735.55,,-39251735.55,
Tabla 6,414-01-01-01-01-03,PRIMAS EMITIDAS AL COBRO CONTRATO,,2101774.25,,2101774.25,,,
Tabla 6,501-,PRIMAS,-67260757.82,,,15018082.54,,-82278840.36,
Tabla 6,501-01-,NEGOCIOS NACIONALES,-67260757.82,,,15018082.54,,-82278840.36,
Tabla 6,501-01-02-,TRANSPORTE,-8412322.28,,,4012941.32,,-12425263.6,
Tabla 6,501-01-02-01-,TRANSPORTE,-8412322.28,,,4012941.32,,-12425263.6,
Tabla 6,501-01-02-01-01-,TRANSPORTE,-8412322.28,,,4012941.32,,-12425263.6,
Tabla 6,501-01-02-01-01-01,FACULTATIVO,-2403020.88,,,128240.48,,-2531261.36,
Tabla 6,501-01-02-01-01-03,CONTRATO,-6009301.4,,,3884700.84,,-9894002.24,
Tabla 6,501-01-03-,INCENDIO,-42955442.11,,,9366703.04,,-52322145.15,
Tabla 6,501-01-03-01-,INCENDIO,-42955442.11,,,9366703.04,,-52322145.15,
Tabla 6,501-01-03-01-01-,INCENDIO,-42955442.11,,,9366703.04,,-52322145.15,
Tabla 6,501-01-03-01-01-01,FACULTATIVO,-31247753.26,,,8823426.88,,-40071180.14,
Tabla 6,501-01-03-01-01-03,CONTRATO,-11707688.85,,,543276.16,,-12250965.01,
Tabla 6,501-01-04-,ACCIDENTES Y DIVERSOS,-15111246.05,,,1638438.18,,-16749684.23,
Tabla 6,501-01-04-01-,ACCIDENTES Y DIVERSOS,-15111246.05,,,1638438.18,,-16749684.23,
Tabla 6,501-01-04-01-01-,ACCIDENTES Y DIVERSOS,-15111246.05,,,1638438.18,,-16749684.23,
Tabla 6,501-01-04-01-01-01,FACULTATIVO,-4608207.8,,,1016071,,-5624278.8,
Tabla 6,501-01-04-01-01-03,CONTRATO,-5337566.87,,,622367.18,,-5959934.05,
Tabla 6,501-01-04-01-01-04,CONTRATO NO PROPORCIONAL,-5165471.38,,,,,-5165471.38,
Tabla 6,501-01-05-,FIANZA,-781747.38,,,,,-781747.38,
Tabla 6,501-01-05-01-,FIANZA,-781747.38,,,,,-781747.38,
Tabla 6,501-01-05-01-01-,FIANZA,-781747.38,,,,,-781747.38,
Tabla 6,501-01-05-01-01-01,FACULTATIVO,-645914.89,,,,,-645914.89,
Tabla 6,501-01-05-01-01-03,CONTRATO,-135832.49,,,,,-135832.49,
Tabla 6,502-,PRESTACIONES Y SINIESTROS A CARGO DE RETROCESIO,-7476882.12,736452.63,,1472905.26,,-8213334.75,
Tabla 6,502-01-,PRESTACIONES A CARGO DE RETROCESIONARIOS,,,736452.63,,736452.63,,
Tabla 6,502-01-01-,DEL PAIS,,,736452.63,,736452.63,,
Tabla 6,502-01-01-02-,NEGOCIOS EXTRANJEROS,,,20378.07,,20378.07,,
Tabla 6,502-01-01-02-01-,VIDA,,,20378.07,,20378.07,,
Tabla 6,502-01-01-02-01-01,FACULTATIVO,,,20378.07,,20378.07,,
Tabla 6,502-01-01-03-,INCENDIO,,,716074.56,,716074.56,,
Tabla 6,502-01-01-03-01-,INCENDIO,,,716074.56,,716074.56,,
Tabla 6,502-01-01-03-01-01,FACULTATIVO,,,716074.56,,716074.56,,
Tabla 6,502-02-,SINIESTROS A CARGO DE RETROCESIONARIOS,-7476882.12,,,,736452.63,-8213334.75,
Tabla 6,502-02-01-,DEL PAIS,-7476882.12,,,,736452.63,-8213334.75,
Tabla 6,502-02-01-01-,NEGOCIOS NACIONALES,-7476882.12,,,,736452.63,-8213334.75,
Tabla 6,502-02-01-01-02-,TRANSPORTE,-54479.89,,,,20378.07,-74857.96,
Tabla 6,502-02-01-01-02-01,FACULTATIVO,-54479.89,,,,20378.07,-74857.96,
Tabla 6,502-02-01-01-03-,INCENDIO,-5480682.21,,,,716074.56,-6196756.77,
Tabla 6,502-02-01-01-03-01,FACULTATIVO,-5480682.21,,,,716074.56,-6196756.77,
Tabla 6,502-02-01-01-04-,ACCIDENTES Y DIVERSOS,-1941720.02,,,,,-1941720.02,
Tabla 6,502-02-01-01-04-01,FACULTATIVOS,-1941720.02,,,,,-1941720.02,
Tabla 6,503-,GASTOS OPERACIONALES REEMBOLSADOS POR RETROC,-16450269.5,,4018589.66,,8037179.32,-20468859.16,
Tabla 6,503-01-,DEL PAIS,,,4018589.66,,4018589.66,,
Tabla 6,503-01-01-,NEGOCIOS NACIONALES,,,4018589.66,,4018589.66,,
Tabla 6,503-01-01-02-,TRANSPORTE,,,799591.64,,799591.64,,
Tabla 6,503-01-01-02-02-,COMISIONES,,,748043.12,,748043.12,,
Tabla 6,503-01-01-02-02-01,COMISIONES,,,748043.12,,748043.12,,
Tabla 6,503-01-01-02-04-,IMPUESTOS,,,51548.52,,51548.52,,
Tabla 6,503-01-01-02-04-01,IMPUESTOS,,,51548.52,,51548.52,,
Tabla 6,503-01-01-03-,INCENDIO,,,2778923.37,,2778923.37,,
Tabla 6,503-01-01-03-02-,COMISIONES,,,2628252.58,,2628252.58,,
Tabla 6,503-01-01-03-02-01,COMISIONES,,,2628252.58,,2628252.58,,
Tabla 6,503-01-01-03-04-,IMPUESTOS,,,150670.79,,150670.79,,
Tabla 6,503-01-01-03-04-01,IMPUESTOS,,,150670.79,,150670.79,,
Tabla 6,503-01-01-04-,ACCIDENTES Y DIVERSOS,,,440074.65,,440074.65,,
Tabla 6,503-01-01-04-02-,COMISIONES,,,414143.76,,414143.76,,
Tabla 6,503-01-01-04-02-01,COMISIONES,,,414143.76,,414143.76,,
Tabla 6,503-01-01-04-04-,IMPUESTOS,,,25930.89,,25930.89,,
Tabla 6,503-01-01-04-04-01,IMPUESTOS,,,25930.89,,25930.89,,
Tabla 6,503-02-,DEL EXTERIOR,-16450269.5,,,,4018589.66,-20468859.16,
Tabla 6,503-02-01-,NEGOCIOS NACIONALES,-16450269.5,,,,4018589.66,-20468859.16,
Tabla 6,503-02-01-02-,TRANSPORTE,-1554347.7,,,,799591.64,-2353939.34,
Tabla 6,503-02-01-02-01-,TRANSPORTE,-1554347.7,,,,799591.64,-2353939.34,
Tabla 6,503-02-01-02-01-01,FACULTATIVO,-1554347.7,,,,748043.12,-2302390.82,
Tabla 6,503-02-01-02-01-04,CONTRATO NO PROPORCIONAL,,,,,51548.52,-51548.52,
Tabla 6,503-02-01-03-,INCENDIO,-11625863.17,,,,2778923.37,-14404786.54,
Tabla 6,503-02-01-03-01-,INCENDIO,-11625863.17,,,,2778923.37,-14404786.54,
Tabla 6,503-02-01-03-01-01,FACULTATIVO,-11625863.17,,,,2628252.58,-14254115.75,
Tabla 6,503-02-01-03-01-04,CONTRATO NO PROPORCIONAL,,,,,150670.79,-150670.79,
Tabla 6,503-02-01-04-,ACCIDENTES Y DIVERSOS,-3093773.18,,,,440074.65,-3533847.83,
Tabla 6,503-02-01-04-01-,ACCIDENTES Y DIVERSOS,-3093773.18,,,,440074.65,-3533847.83,
Tabla 6,503-02-01-04-01-01,FACULTATIVO,-3093773.18,,,,440074.65,-3533847.83,
Tabla 6,503-02-01-05-,FIANZAS,-176285.45,,,,,-176285.45,
Tabla 6,503-02-01-05-01-,FIANZAS,-176285.45,,,,,-176285.45,
Tabla 6,503-02-01-05-01-01,FACULTATIVO,-176285.45,,,,,-176285.45,
Tabla 6,506-,RESERVAS DE PRIMAS,-2423850.98,,29511077.4,,27087226.42,,
Tabla 7,Código,Descripción,Saldo Inicial,,Debitos,Créditos,Saldo Actual,,
Tabla 7,506-01-,NEGOCIOS NACIONALES,-2423850.98,,29511077.4,27087226.42,,,
Tabla 7,506-01-02-,TRANSPORTE,-995518.06,,2547076.08,1551558.02,,,
Tabla 7,506-01-02-01-,TRANSPORTE,-995518.06,,2547076.08,1551558.02,,,
Tabla 7,506-01-02-01-01-,TRANSPORTE,-995518.06,,2547076.08,1551558.02,,,
Tabla 7,506-01-02-01-01-01,FACULTATIVO,-445584.89,,844928.67,399343.78,,,
Tabla 7,506-01-02-01-01-03,CONTRATO,-549933.17,,1702147.41,1152214.24,,,
Tabla 7,506-01-03-,INCENDIO,-316366.61,,20639493.95,20323127.34,,,
Tabla 7,506-01-03-01-,INCENDIO,-316366.61,,20639493.95,20323127.34,,,
Tabla 7,506-01-03-01-01-,INCENDIO,-316366.61,,20639493.95,20323127.34,,,
Tabla 7,506-01-03-01-01-01,FACULTATIVO,,,19850020.11,19850020.11,,,
Tabla 7,506-01-03-01-01-03,CONTRATO,-316366.61,,789473.84,473107.23,,,
Tabla 7,506-01-04-,ACCIDENTES Y DIVERSOS,-721853.84,,5583406,4861552.16,,,
Tabla 7,506-01-04-01-,ACCIDENTES Y DIVERSOS,-721853.84,,5583406,4861552.16,,,
Tabla 7,506-01-04-01-01-,ACCIDENTES Y DIVERSOS,-721853.84,,5583406,4861552.16,,,
Tabla 7,506-01-04-01-01-01,FACULTATIVO,,,3469836.03,3469836.03,,,
Tabla 7,506-01-04-01-01-03,CONTRATO,-210977.94,,802832.08,591854.14,,,
Tabla 7,506-01-04-01-01-04,CONTRATO NO PROPORCIONAL,-510875.9,,1310737.89,799861.99,,,
Tabla 7,506-01-05-,FIANZA,-390112.47,,741101.37,350988.9,,,
Tabla 7,506-01-05-01-,FIANZA,-390112.47,,741101.37,350988.9,,,
Tabla 7,506-01-05-01-01-,FIANZA,-390112.47,,741101.37,350988.9,,,
Tabla 7,506-01-05-01-01-01,FACULTATIVO,-378729.72,,722301.28,343571.56,,,
Tabla 7,506-01-05-01-01-03,CONTRATO,-11382.75,,18800.09,7417.34,,,
Tabla 7,507-,RESERVAS PARA PRESTACIONES Y SINIESTROS PENDIEN,,,746634.14,746634.14,,,
Tabla 7,507-01-,NEGOCIOS NACIONALES,,,746634.14,746634.14,,,
Tabla 7,507-01-03-,INCENDIO,,,737454.4,737454.4,,,
Tabla 7,507-01-03-01-,INCENDIO,,,737454.4,737454.4,,,
Tabla 7,507-01-03-01-01-,INCENDIO,,,737454.4,737454.4,,,
Tabla 7,507-01-03-01-01-01,FACULTATIVO,,,737454.4,737454.4,,,
Tabla 7,507-01-04-,ACCIDENTES Y DIVERSOS,,,9179.74,9179.74,,,
Tabla 7,507-01-04-01-,ACCIDENTES Y DIVERSOS,,,9179.74,9179.74,,,
Tabla 7,507-01-04-01-01-,ACCIDENTES Y DIVERSOS,,,9179.74,9179.74,,,
Tabla 7,507-01-04-01-01-01,FACULTATIVO,,,9179.74,9179.74,,,
Tabla 7,512-,PRODUCTO DE INVERSIONES,-384820.3,,,83997.94,-468818.24,,
Tabla 7,512-01-,INTERESES GANADOS,-14848.15,,,1829.34,-16677.49,,
Tabla 7,512-01-01-,DEPOSITOS BANCARIOS,-254.73,,,,-254.73,,
Tabla 7,512-01-01-01-,INTERESES GANADOS DEPOSITOS BANCARIOS,-254.73,,,,-254.73,,
Tabla 7,512-01-01-01-01-,INTERESES GANADOS DEPOSITOS BANCARIOS,-254.73,,,,-254.73,,
Tabla 7,512-01-01-01-01-01,INTERESES GANADOS DEPOSITOS BANCARIOS,-254.73,,,,-254.73,,
Tabla 7,512-01-04-,VALORES PUBLICOS,-14593.42,,,1829.34,-16422.76,,
